date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2022-08-01,Nakhon Pathom ,0.4262249238797583,0.4786123195154956,0.45310406261957464,1.2526089495820532,0.550314011563536,0.4976910734386443,1.2617274133531735,1.0,0.0,0.0,0.0,0.0
2022-08-01,Nakhon Sawan ,0.7338039892902501,0.2518407938742119,0.7745326197014061,0.6643477394178394,0.1325295268419368,0.7555195121435431,0.6913086933486925,0.0,0.0,0.0,1.0,0.0
2022-08-01,Nakhon Si Thammarat ,1.0801779977846295,0.2760252192461024,1.1314008134670097,0.8909840046150029,0.20620792933516927,1.48778655038251,0.9129039312751936,0.0,0.0,0.0,0.0,1.0
2022-08-01,Nan ,0.20712783676924476,0.6351306770031587,0.22113304050618524,0.1216161443552185,0.341420993779928,0.6553226349186909,0.15151988790884388,0.0,0.0,0.0,1.0,0.0
2022-08-01,Narathiwat ,-0.8290446748289159,1.301230003285236,-1.0652624220913816,-0.9558596892825194,1.414510097288933,-0.665127467068284,-1.1200084889423203,0.0,0.0,0.0,0.0,1.0
2022-08-01,Nong Bua Lamphu ,-1.6622780428010229,-1.3578110040648836,-1.6114515287582725,-1.2358458907564036,-1.0315030033495547,-1.5023385274866314,-1.1962651631744887,0.0,0.0,1.0,0.0,0.0
2022-08-01,Nonthaburi ,0.5572616156522572,1.0373569025016112,0.5564943496578685,1.3434740141529788,1.5064158090861837,0.6054188158875815,1.303065584156671,1.0,0.0,0.0,0.0,0.0
2022-08-01,Pathum Thani ,-0.015220212344706587,0.42748207586224046,0.001954073816432788,0.5399158154208094,0.8648700639644231,-0.5676267539660932,0.5501863266730233,1.0,0.0,0.0,0.0,0.0
2022-08-01,Pattani ,-1.095676864011369,-0.22894677336446678,-1.069328841155553,-1.2449537796653836,0.6700217156064294,-1.0031481741803883,-1.2663829745524777,0.0,0.0,0.0,0.0,1.0
2022-08-01,Phang Nga ,0.999574727487159,2.3772264798373546,0.21450168435962624,0.1912969076947412,2.1681542010621784,0.05169714457131423,-0.16678461721075702,0.0,0.0,0.0,0.0,1.0
